Date,Open,High,Low,Close,Adj Close,Volume
2018-02-27,56.454498,57.272701,56.454498,57.272701,57.197422,29772
2018-02-28,58.090900,58.090900,56.727200,57.272701,57.197422,10739
2018-03-01,58.181801,58.181801,56.727200,57.272701,57.197422,997
2018-03-02,56.363602,57.272701,57.272701,57.272701,57.197422,33196
2018-03-05,56.363602,56.363602,56.363602,57.272701,57.197422,61264
2018-03-06,56.863602,55.454498,55.454498,54.545399,54.473705,290097
2018-03-07,56.181801,56.363602,53.363602,55.454498,55.381611,66642
2018-03-08,55.727200,56.363602,54.545399,55.454498,55.381611,13239
2018-03-09,55.554501,56.090900,55.554501,55.909000,55.835518,14334
2018-03-12,56.090900,56.090900,56.090900,55.909000,55.835518,1069
2018-03-13,55.590900,55.863602,53.636299,54.545399,54.473705,97644
2018-03-14,55.863602,55.863602,53.045399,54.545399,54.473705,132103
2018-03-15,54.545399,54.545399,54.545399,54.545399,54.473705,0
2018-03-16,55.863602,55.863602,52.727200,54.545399,54.473705,198639
2018-03-19,54.545399,54.545399,54.545399,54.545399,54.473705,50050
2018-03-20,53.000000,54.090900,52.727200,54.090900,54.019806,21008
2018-03-21,54.636299,54.636299,54.636299,54.545399,54.473705,11
2018-03-22,53.727200,54.545399,53.727200,54.545399,54.473705,27087
2018-03-23,54.545399,54.545399,53.467201,54.090900,54.019806,120356
2018-03-26,55.454498,55.454498,52.727200,54.090900,54.019806,6074
2018-03-27,53.409000,54.545399,52.863602,54.090900,54.019806,259006
2018-03-28,53.181801,53.272701,53.181801,54.090900,54.019806,116176
2018-03-29,53.272701,53.272701,53.272701,54.090900,54.019806,4843
2018-04-03,52.754501,52.754501,52.727200,54.090900,54.019806,10860
2018-04-04,54.545399,54.545399,52.727200,54.090900,54.019806,16904
2018-04-05,52.727200,54.181801,52.727200,54.090900,54.019806,18360
2018-04-06,54.181801,54.181801,54.181801,54.090900,54.019806,11841
2018-04-09,52.727200,54.181801,52.727200,53.636299,53.565800,29271
2018-04-10,52.727200,52.848099,51.227200,52.727200,52.657898,204881
2018-04-11,52.325401,52.325401,51.236301,52.272701,52.203995,7823
2018-04-12,52.272701,52.272701,52.272701,52.272701,52.203995,0
2018-04-13,51.409000,52.727200,51.409000,52.272701,52.203995,96417
2018-04-16,53.636299,53.636299,53.636299,52.272701,52.203995,165
2018-04-17,53.636299,53.636299,53.636299,52.272701,52.203995,22000
2018-04-18,52.272701,52.727200,52.727200,52.272701,52.203995,427351
2018-04-19,52.727200,53.636299,52.727200,52.272701,52.203995,189585
2018-04-20,52.727200,52.954498,52.727200,52.272701,52.203995,909504
2018-04-23,54.545399,54.545399,52.727200,53.181801,53.111900,1276415
2018-04-24,54.545399,54.545399,52.727200,53.181801,53.111900,8445
2018-04-25,53.181801,53.181801,53.181801,53.181801,53.111900,0
2018-04-26,52.727200,53.636299,51.818100,53.181801,53.111900,479772
2018-04-27,52.727200,52.727200,52.727200,53.636299,53.565800,220
2018-04-30,52.727200,54.318100,52.727200,53.636299,53.565800,11155
2018-05-01,51.954498,51.954498,51.954498,53.636299,53.565800,11000
2018-05-02,54.545399,54.545399,51.909000,53.636299,53.565800,21810
2018-05-03,51.818100,51.818100,51.818100,53.636299,53.565800,908
2018-05-04,51.818100,54.318100,51.818100,52.727200,52.657898,139759
2018-05-08,52.727200,52.727200,52.727200,52.727200,52.657898,0
2018-05-09,51.818100,52.727200,50.909000,52.272701,52.203995,207684
2018-05-10,51.136299,51.409000,50.909000,51.818100,51.749992,28366
2018-05-11,50.909000,51.409000,50.000000,51.363602,51.296089,23390
2018-05-14,50.109001,49.090900,49.090900,49.090900,49.026379,117879
2018-05-15,50.000000,50.909000,48.636299,49.545399,49.480278,29330
2018-05-16,50.227200,50.227200,50.227200,49.545399,49.480278,11000
2018-05-17,50.000000,50.000000,47.363602,48.181801,48.118473,71971
2018-05-18,48.409000,49.090900,48.409000,48.181801,48.118473,10816
2018-05-21,47.290901,47.290901,47.272701,48.181801,48.118473,40431
2018-05-22,49.000000,49.000000,47.272701,48.181801,48.118473,25885
2018-05-23,48.409000,48.409000,48.181801,48.636299,48.572372,14736
2018-05-24,46.363602,48.545399,46.363602,48.636299,48.572372,24332
2018-05-25,48.636299,48.636299,48.636299,48.636299,48.572372,0
2018-05-29,47.272701,47.272701,47.272701,48.636299,48.572372,3936
2018-05-30,48.636299,48.636299,48.636299,48.636299,48.572372,0
2018-05-31,48.636299,48.636299,48.636299,48.636299,48.572372,0
2018-06-01,48.545399,48.545399,47.272701,48.181801,48.118473,21089
2018-06-04,46.381802,48.545399,46.363602,46.818100,46.756565,43766
2018-06-05,46.363602,46.636299,45.181801,45.909000,45.848660,50725
2018-06-06,46.636299,46.636299,43.181801,45.000000,44.940853,87054
2018-06-07,44.909000,46.272701,44.909000,46.363602,46.302662,54733
2018-06-08,47.272701,47.272701,47.272701,46.363602,46.302662,2750
2018-06-11,45.454498,48.909000,45.454498,47.272701,47.210567,170282
2018-06-12,46.181801,46.181801,46.181801,47.272701,47.210567,1839
2018-06-13,48.681801,48.681801,46.181801,47.272701,47.210567,4219
2018-06-14,46.181801,46.181801,46.181801,47.272701,47.210567,2677
2018-06-15,47.272701,47.272701,47.272701,47.272701,47.210567,0
2018-06-18,46.181801,48.545399,46.181801,47.272701,47.210567,16060
2018-06-19,46.381802,46.381802,46.381802,47.727200,47.664471,10510
2018-06-20,46.477200,46.477200,46.477200,47.727200,47.664471,6600
2018-06-21,46.363602,48.136299,46.363602,47.727200,47.664471,17476
2018-06-22,48.136299,48.136299,46.363602,47.272701,47.210567,126251
2018-06-25,45.909000,48.136299,45.909000,47.272701,47.210567,24736
2018-06-26,47.090900,47.090900,47.090900,47.272701,47.210567,770
2018-06-27,45.454498,46.363602,45.454498,46.363602,46.302662,26400
2018-06-28,46.363602,46.363602,46.272701,46.363602,46.302662,15889
2018-06-29,46.363602,46.363602,46.363602,46.363602,46.302662,0
2018-07-02,46.363602,46.363602,46.363602,46.363602,46.302662,0
2018-07-03,46.136299,46.136299,46.136299,46.363602,46.302662,146
2018-07-04,46.090900,46.090900,46.090900,46.363602,46.302662,212
2018-07-05,45.454498,45.590900,43.727200,45.454498,45.394753,13162
2018-07-06,45.454498,45.454498,45.454498,45.454498,45.394753,0
2018-07-09,45.454498,44.545399,44.545399,44.545399,44.486847,20119
2018-07-10,43.636299,45.454498,45.454498,44.545399,44.486847,65402
2018-07-11,45.136299,45.136299,45.136299,44.545399,44.486847,60566
2018-07-12,44.545399,44.545399,44.545399,44.545399,44.486847,0
2018-07-13,46.272701,46.272701,45.454498,44.545399,44.486847,7438
2018-07-16,44.136299,44.536301,41.545399,42.045399,41.990139,326249
2018-07-17,41.818100,44.536301,41.545399,43.181801,43.125042,46753
2018-07-18,44.090900,44.272701,42.409000,44.090900,44.032948,1246518
2018-07-19,44.863602,44.863602,43.181801,44.090900,44.032948,131519
2018-07-20,45.454498,45.454498,42.954498,44.090900,44.032948,6833
2018-07-23,45.181801,45.181801,43.636299,45.000000,44.940853,1101240
2018-07-24,45.454498,45.454498,44.136299,45.000000,44.940853,28992
2018-07-25,45.136299,45.136299,45.136299,45.000000,44.940853,7287
2018-07-26,45.136299,45.136299,43.000000,43.636299,43.578941,52167
2018-07-27,43.727200,43.727200,43.727200,43.636299,43.578941,7700
2018-07-30,45.454498,45.454498,42.727200,43.409000,43.351944,726447
2018-07-31,43.636299,44.454498,43.454498,43.636299,43.578941,77205
2018-08-01,43.818100,43.818100,43.818100,43.636299,43.578941,8704
2018-08-02,44.090900,44.090900,43.454498,43.636299,43.578941,35279
2018-08-03,44.090900,44.090900,44.090900,43.636299,43.578941,15926
2018-08-06,42.909000,44.036301,42.909000,43.636299,43.578941,4715
2018-08-07,43.636299,43.636299,43.636299,43.636299,43.578941,0
2018-08-08,42.909000,43.636299,42.909000,43.181801,43.125042,25004
2018-08-09,43.454498,43.636299,43.181801,43.181801,43.125042,515473
2018-08-10,42.954498,43.636299,42.954498,43.181801,43.125042,5083
